图片资产记录键,天气事件编号,事件帧编号,帧序号,样本编号,观测时间,图片类型,图片类型编码,图片文件名,图片URL,GitHub相对路径,服务器图片路径,本地图片路径,是否有图,数据状态,数据版本
real_h8_sccbam_epoch78__REAL_EVT_001_F001__DOUBLE_PANEL,REAL_EVT_001,REAL_EVT_001_F001,1,REAL_H8_20210121135000,2021-01-21 13:50:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210121135000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210121135000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210121135000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210121135000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210121135000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_001_F002__DOUBLE_PANEL,REAL_EVT_001,REAL_EVT_001_F002,2,REAL_H8_20210131122000,2021-01-31 12:20:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131122000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131122000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131122000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131122000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131122000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_001_F003__DOUBLE_PANEL,REAL_EVT_001,REAL_EVT_001_F003,3,REAL_H8_20210131133000,2021-01-31 13:30:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131133000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131133000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131133000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131133000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131133000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_001_F004__DOUBLE_PANEL,REAL_EVT_001,REAL_EVT_001_F004,4,REAL_H8_20210131140000,2021-01-31 14:00:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131140000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131140000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131140000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131140000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131140000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_001_F005__DOUBLE_PANEL,REAL_EVT_001,REAL_EVT_001_F005,5,REAL_H8_20210131145000,2021-01-31 14:50:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131145000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131145000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131145000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131145000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131145000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_001_F006__DOUBLE_PANEL,REAL_EVT_001,REAL_EVT_001_F006,6,REAL_H8_20210131172000,2021-01-31 17:20:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131172000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131172000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131172000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131172000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131172000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_002_F001__DOUBLE_PANEL,REAL_EVT_002,REAL_EVT_002_F001,1,REAL_H8_20210131183000,2021-01-31 18:30:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131183000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131183000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131183000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131183000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131183000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_002_F002__DOUBLE_PANEL,REAL_EVT_002,REAL_EVT_002_F002,2,REAL_H8_20210131185000,2021-01-31 18:50:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131185000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131185000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131185000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131185000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131185000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_002_F003__DOUBLE_PANEL,REAL_EVT_002,REAL_EVT_002_F003,3,REAL_H8_20210131194000,2021-01-31 19:40:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131194000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131194000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131194000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131194000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131194000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_002_F004__DOUBLE_PANEL,REAL_EVT_002,REAL_EVT_002_F004,4,REAL_H8_20210131204000,2021-01-31 20:40:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210131204000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210131204000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210131204000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210131204000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210131204000.png,1,OK,db03_double_panel_v1
